energy_carb,energy_protein,energy_fibre,energy_fat,h_nutrients_calories
66.89599193,21.55533934,3.055804532,76.46961654,1.604227947
66.56192243,21.06891977,2.977300803,76.36688501,1.595882831
71.87056611,21.51312857,2.977212371,77.20939529,1.574262933
71.79620563,21.52007778,3.041363208,76.96492336,1.572369947
80.57697906,20.85258813,2.890490425,75.69976227,1.552291763
67.93620143,21.76544485,2.887292338,76.21882958,1.587908161
69.79896321,20.22071933,2.93000734,78.11502766,1.585748812
74.27892217,20.71278788,2.853087239,78.37051465,1.565471101
68.93242512,21.06166284,3.011048268,79.18037025,1.574356272
74.71144063,20.54696251,3.040299134,73.77451736,1.57263021
65.9375398,21.09996026,2.87516978,74.90241594,1.593289254
67.92990643,20.5896425,2.940560395,73.92975365,1.588908283
71.93209157,21.10229699,2.880836418,76.75179728,1.577321882
70.85340707,21.63816152,2.949334363,75.9385001,1.585568401
70.93375852,19.80012829,2.857486621,75.26154827,1.578432849
71.62752411,21.347118,2.9917172,75.58656043,1.57791255
76.41341429,20.47123171,2.78532883,76.66290691,1.556023644
64.99127257,20.2895741,3.053766792,74.92805201,1.604286818
67.24639712,20.8434166,3.008425064,76.93045777,1.598639782
64.36805911,19.63668373,2.75754538,75.84649465,1.582615596
68.5741964,18.97795479,2.866748499,75.72431826,1.568870742
66.15270743,21.33422857,3.200727429,76.12789371,1.608088192
71.24727521,18.86093232,2.821595475,79.29081627,1.5435314
67.82405467,19.82899317,2.890764725,74.82676147,1.594975241
62.86818258,20.94504838,3.129188052,74.65857331,1.616342031
70.10635156,19.51542434,2.807550589,78.03237844,1.562882888
71.85819448,20.08956355,2.852010236,76.57128412,1.567961896
78.15105949,19.83169361,3.054057448,83.10418616,1.543439342
63.37282936,20.5302058,2.98392481,75.08360841,1.606446757
75.27268494,20.40115965,3.026430065,76.80229929,1.55499242
73.00222416,21.23280534,2.886479064,82.47965187,1.555397377
65.96269798,21.109817,3.165668016,78.73117652,1.603563744
69.16812822,18.75174814,2.715993131,69.70178019,1.569413115
63.97450794,21.25942256,3.167642316,75.1126791,1.614226645
59.30489114,21.07633142,3.157633231,74.75119674,1.625042592
66.67068681,20.64440118,3.045961688,79.62331537,1.58627509
67.26153551,20.9205547,3.226381958,77.81912188,1.588743077
68.10961817,20.91304778,2.739345324,77.75501602,1.578495696
76.59419947,18.89927249,2.751560523,79.00587384,1.523708287
72.92581912,19.98543288,2.768709404,77.12171395,1.561944094
67.05195606,20.28176986,2.779738738,74.3628899,1.581314706
70.17011417,20.97760237,2.805655431,76.86323098,1.57531714
77.10095728,18.39878745,2.675316465,80.19081746,1.506590859
79.36339324,16.97670238,2.683304646,81.90583139,1.480301166
73.66994819,19.47344315,2.708773762,77.26443221,1.533275646
69.49603912,20.39717373,2.818629736,85.75743879,1.547187661
70.24865143,18.04085302,2.709632431,78.48376473,1.532486591
78.38355332,17.6978456,2.667311329,81.82713426,1.488664514
77.07508379,17.83080401,2.685971712,82.12497103,1.495104739
76.7908084,18.17929822,2.655233603,78.74156995,1.502119602
75.30629925,18.65597706,2.71906535,80.5112928,1.522400268
78.64529153,19.54912396,2.793926027,82.27082035,1.510935705
73.97473681,20.16076565,2.751645733,78.1259565,1.545510573
67.22225584,20.78188532,2.802134999,76.18471674,1.583551643
66.99193729,20.22597061,2.837037102,75.93178284,1.575950748
75.48987214,18.55084092,2.723250763,80.97886403,1.524135482
71.98652632,20.49198826,2.848891075,76.80392939,1.553799495
59.40653319,21.170576,3.074381929,76.92011309,1.61047812
61.52658208,20.4605753,2.964795342,75.48799861,1.633888904
71.57113762,21.44827466,3.466569683,76.02263602,1.632887944
82.44327508,22.75494208,3.466247791,78.53651286,1.573747422
68.25412569,26.05404019,3.655237281,79.60055579,1.61679588
80.22130483,22.18857353,3.586214523,87.02067822,1.548161514
72.04343523,19.96320233,3.089432314,79.77668122,1.58806129
75.79986462,20.51844461,3.19473011,87.27895625,1.553703475
64.25525815,20.77926576,3.224308907,79.82934182,1.605548824
65.21393254,21.01251743,3.164565668,82.55045308,1.582664201
67.2386786,19.73619179,3.149506768,76.12981074,1.596482505
64.80942716,20.21287129,3.401096181,77.28189887,1.611130565
63.3970894,21.97740818,3.286590437,78.56922037,1.622364571
68.66115165,22.45299341,3.459868132,83.5326,1.615650385
60.69862098,22.68516506,3.242331801,73.8453949,1.632307731
65.52484211,21.52843665,3.280397661,82.16698246,1.590440906
74.80833102,20.82110525,3.222993613,80.61540683,1.56863211
75.98960251,20.1438304,3.40805589,80.35334859,1.564357912
77.7,20.44163551,2.890109034,81.98761682,1.5315151
63.94699282,17.77754729,2.956242661,69.91614481,1.555529445
74.9482127,19.06157087,3.166175143,76.26003611,1.566416335
77.32917749,20.24542569,3.162020202,73.55101299,1.5655024
76.20095408,20.73953488,3.064281455,78.57944544,1.547492847
72.93271233,19.82082192,3.317589041,79.53292603,1.547910163
80.84013378,20.36473092,3.424080268,76.77249012,1.569132249
75.40458569,19.30053422,2.920284656,77.24365373,1.544454617
74.74217497,20.60988622,2.962059317,76.59233352,1.579401217
75.72751956,19.64982026,3.173905688,82.47450412,1.541711914
83.75507437,21.90254189,3.255658068,82.5488778,1.543361317
70.89436793,20.20865365,3.110991778,81.79494604,1.562911843
73.47936808,21.59335597,3.296931936,81.53868448,1.565935466
77.55626197,21.93312907,3.25614707,77.16252202,1.572229767
83.14883117,20.61805195,3.258831169,84.97431818,1.530463507
74.47545626,21.67590848,3.101857335,81.20471063,1.565989414
75.55615996,20.86152013,2.998834746,81.77908633,1.553289
76.81444304,20.21861708,3.18042968,70.60008485,1.567475386
